,,
Model ,<a href="/en/nissan-primera-model-80">Primera</a>,
Generation  ,<a href="/en/nissan-primera-p10-generation-186">Primera (P10)</a>,
Modification (Engine) ,2.0 GT (150 Hp) ,
Start of production ,1990 year ,
End of production ,1996 year ,
Powertrain Architecture ,Internal Combustion engine ,
Body type,Sedan ,
Seats ,5 ,
Doors ,4 ,
,,
Fuel consumption (economy) - urban ,,
,,
,,20.28 US mpg24.35 UK mpg8.62 km/l
,,
,,
Fuel consumption (economy) - extra urban,,
,,
,,31.79 US mpg38.17 UK mpg13.51 km/l
,,
Fuel consumption (economy) - combined,,
,,
,,28.34 US mpg34.03 UK mpg12.05 km/l
Fuel Type ,Petrol (Gasoline) ,
Acceleration 0 - 100 km/h,8.4 sec ,
Acceleration 0 - 62 mph,8.4 sec ,
Acceleration 0 - 60 mph (Calculated by Auto-Data.net) ,8 sec ,
,,
Maximum speed ,,
,,
,,136.7 mph
Weight-to-power ratio ,8.3 kg/Hp, 120.1 Hp/tonne ,
Weight-to-torque ratio ,6.9 kg/Nm, 144.9 Nm/tonne ,
Power ,150 Hp @ 6100 rpm. ,
Power per litre ,75.1 Hp/l ,
,,
Torque ,,
,,
,,133.5 lb.-ft. @ 4800 rpm.
Engine location ,Front, Transverse ,
,,
Engine displacement ,,
,,
,,121.93 cu. in.
Number of cylinders ,4 ,
Position of cylinders ,Inline ,
,,
Cylinder Bore ,,
,,
,,3.39 in.
,,
Piston Stroke ,,
,,
,,3.39 in.
Compression ratio ,10 ,
Number of valves per cylinder ,4 ,
Fuel System ,Multi-point indirect injection ,
Engine aspiration ,Naturally aspirated engine ,
Valvetrain  ,DOHC ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Max. weight ,,
,,
,,3814 lbs.
,,
Max load,,
,,
,,1060.42 lbs.
,,
Trunk (boot) space - minimum ,,
,,
,,16.95 cu. ft.
,,
Fuel tank capacity ,,
,,
,,15.85 US gal | 13.2 UK gal
,,
Length ,,
,,
,,173.23 in.
,,
Width ,,
,,
,,66.93 in.
,,
Height ,,
,,
,,54.72 in.
,,
Wheelbase ,,
,,
,,100.39 in.
,,
Front track ,,
,,
,,57.87 in.
,,
Rear (Back) track ,,
,,
,,57.48 in.
Drivetrain Architecture ,The Internal combustion engine (ICE) drives the front wheels of the vehicle. ,
Drive wheel ,Front wheel drive ,
Number of gears and type of gearbox ,5 gears, manual transmission ,
Front suspension ,Double wishbone ,
Rear suspension ,Double wishbone ,
Front brakes,Ventilated discs ,
Rear brakes,Disc ,
Steering type ,Steering rack and pinion ,
Power steering ,Hydraulic Steering ,
Tires size,195/60 R14 ,
